Isolado;Repetición;Color micelio;Pigementación medio;Crescimiento;Micelio;Borde ;Granulación;Crecimiento1;Crecimiento 2
10;I;GRIS OSCURO;NEGRO;AEREO;Algodonoso;ASERRADO;NO;10.369;58
10;II;GRIS CLARO;NEGRO;AEREO;Algodonoso;ASERRADO;NO;2.406;58
10;III;GRIS OSCURO;NEGRO;AEREO;Algodonoso;ASERRADO;NO;5.659;58
1;I;GRIS OSCURO;NEGRO;AEREO;Algodonoso;ASERRADO;NO;7.867;56.355
1;II;GRIS OSCURO;CAFÉ OSCURO;AEREO RADIAL;Algodonoso;ASERRADO;ESCASA;5.947;52.296
1;III;GRIS OSCURO;CAFÉ OSCURO;AEREO RADIAL;Algodonoso;ASERRADO;NO;6.22;36.21
2;I;BLANCO;GRIS CLARO EN LA REGIÓN MAS ANTIGUA;AEREO IRREGULAR ;Algodonoso;LISO;NO;0.618;1.351
2;II;BLANCO Y GRIS CLARO;GRIS CLARO EN LA REGIÓN MAS ANTIGUA;AEREO IRREGULAR ;Algodonoso;LISO;NO;1.584;1.838
2;III;BLANCO Y GRIS CLARO;GRIS CLARO EN LA REGIÓN MAS ANTIGUA;AEREO IRREGULAR ;Algodonoso;LISO;NO;1.818;9.57
3;I;GRIS CLARO;NEGRO;AEREO;Algodonoso;SIN BORDE;ABUNDANTE;25.945;58
3;II;GRIS CLARO;NEGRO;AEREO;Algodonoso;SIN BORDE;ABUNDANTE;30.85;58
3;III;GRIS CLARO;NEGRO;AEREO;Algodonoso;SIN BORDE;ABUNDANTE;27.088;58
4;I;BLANCO Y GRIS CLARO;GRIS CLARO Y NEGRO ;AEREO RADIAL;Algodonoso;SIN BORDE;ESCASA;6.205;44.709
4;II;GRIS CLARO;CAFÉ OSCURO;AEREO IRREGULAR ;Algodonoso;ASERRADO;ESCASA;1.881;6.523
4;III;GRIS OSCURO;CAFÉ OSCURO;AEREO;Algodonoso;ASERRADO;NO;3.722;44.248
5;I;GRIS CLARO;CLARO Y SE TORNA OSCURO;AEREO;Algodonoso;ASERRADO;ESCASA;1.51;12.408
5;II;GRIS CLARO;CLARO Y SE TORNA OSCURO;AEREO;Algodonoso;ASERRADO;ESCASA;1.57;15.026
5;III;GRIS CLARO;CLARO Y SE TORNA OSCURO;AEREO;Algodonoso;ASERRADO;ESCASA;1.333;15.793
6;I;GRIS CLARO;GRIS OSCURO;AEREO RADIAL;Algodonoso;SIN BORDE;SI;20.793;58
6;II;GRIS CLARO;GRIS OSCURO;AEREO RADIAL;Algodonoso;SIN BORDE;SI;18.25;58
6;III;GRIS OSCURO;GRIS CLARO Y NEGRO ;AEREO;Algodonoso;SIN BORDE;ESCASA;16.749;58
7;I;GRIS CLARO;GRIS OSCURO;AEREO RADIAL;Algodonoso;SIN BORDE;NO;12.513;58
7;II;GRIS CLARO;GRIS OSCURO;AEREO RADIAL;Algodonoso;ASERRADO;NO;7.643;58
7;III;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;7.475;58
8;I;BLANCO;CREMA;AEREO RADIAL;Algodonoso;SIN BORDE;NO;22.405;17.966
8;II;BLANCO Y GRIS CLARO;CREMA;AEREO RADIAL;Algodonoso;SIN BORDE;NO;25.483;14.961
8;III;BLANCO;CREMA;AEREO RADIAL;Algodonoso;SIN BORDE;NO;30.031;23.837
C004;I;GRIS OSCURO;GRIS CLARO Y NEGRO ;AEREO;Algodonoso;DEFINIDO LISO;NO;8.334;58
C004;II;GRIS OSCURO;GRIS CLARO Y NEGRO ;AEREO;Algodonoso;DEFINIDO LISO;NO;9.495;58
C004;III;GRIS OSCURO;GRIS CLARO Y NEGRO ;AEREO;Algodonoso;DEFINIDO LISO;NO;10.108;58
C005;I;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;17.234;58
C005;II;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;10.265;58
C005;III;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;NA;58
C006;I;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;20.222;58
C006;II;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;22.872;58
C006;III;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;22.396;58
C008;I;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;ESCASA;31.519;58
C008;II;GRIS OSCURO;GRIS OSCURO;AEREO;Algodonoso;SIN BORDE;ESCASA;30.973;58
C008;III;BLANCO;BLANCO Y GRIS CLARO;AEREO;Algodonoso;NA;GRÁNULOS VERDE OLIVA;22.076;58
C011;I;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;25.685;58
C011;II;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;23.277;58
C011;III;GRIS OSCURO;NEGRO;AEREO;Algodonoso;SIN BORDE;NO;24.475;58
